Entity Name,Reporting Company,Payment Type,Start Date,End Date,Federal Government,Tribal Governments,State,Value (USD),Notes,
State of Alaska,Agnico Eagle Mines Limited,Fees,01-01-2016,12-31-2016,N,,Alaska,75448,Department of Natural Resources,
United States Government,Agnico Eagle Mines Limited,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,377244,Bureau of Land Management,
Arizona Department of Revenue,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Arizona,347065,State taxes paid - $348K USD translated at an annual average rate of 1.33294.,
State of California,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,California,6224537,State taxes paid - $6.19M USD translated at an annual average rate of 1.33294.,
Colorado Department of Revenue,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Colorado,347065,State taxes paid - $343K USD translated at an annual average rate of 1.33294.,
Internal Revenue Service,Agrium Inc.,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,149388904,Federal corporate income taxes - $148.30M USD paid translated at an annual average rate of 1.33294. Please note we cannot identify and disaggregate the portion of our taxes specifically related to our in-scope projects and therefore have reported income taxes at the payee level.,
Office of Natural Resource Revenue,Agrium Inc.,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,2550174,Royalty payments related to exploration and extraction of ores - $2.53M USD paid translated at an annual average rate of 1.33294.,
US Forest Service (in trust),Agrium Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,9808362,$9.75M USD paid into a trust established with the US Forest Service to jointly remediate a certain legacy site translated at an annual average rate of 1.33294.,
Hawaii State Tax Controller,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Hawaii,82993,State taxes paid - $82K USD translated at an annual average rate of 1.33294.,
Caribou County,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Idaho,414969,Property tax on Conda mining site - $415K USD paid translated at an annual average rate of 1.33294.,
Idaho Department of Environmental Quality,Agrium Inc.,Fees,01-01-2016,12-31-2016,N,,Idaho,248981,Various reclamation and closure related fees paid - $252K USD translated at an annual average rate of 1.33294.,
Idaho Department of Lands,Agrium Inc.,Royalties,01-01-2016,12-31-2016,N,,Idaho,731854,Royalties related to exploration and extraction of ores - $729K USD translated at an annual average rate of 1.33294.,
Idaho State Tax Commission,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Idaho,2210653,State taxes paid - $2.20M USD translated at an annual average rate of 1.33294.,
Illinois Department of Revenue,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Illinois,3214124,State taxes paid - $3.20M USD translated at an annual average rate of 1.33294.,
Kansas Department of Revenue,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Kansas,1033650,State taxes paid - $1.03M USD translated at an annual average rate of 1.33294.,
Commonwealth of Massachusetts,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Massachusetts,90538,State taxes paid - $91K USD translated at an annual average rate of 1.33294.,
State of Michigan - Michigan Department of Treasury,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Michigan,1011015,State taxes paid - $1.01M USD translated at an annual average rate of 1.33294.,
Minnesota Department of Revenue,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Minnesota,2655802,State taxes paid - $2.64M USD translated at an annual average rate of 1.33294.,
Missouri Director of Revenue,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Missouri,754489,State taxes paid - $749K USD translated at an annual average rate of 1.33294.,
Montana Department of Revenue,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Montana,354610,State taxes paid - $355K USD translated at an annual average rate of 1.33294.,
Nebraska Department of Revenue,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Nebraska,1124189,State taxes paid - $1.12M USD translated at an annual average rate of 1.33294.,
New York State Corporation Tax,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,New York,248981,State taxes paid - $251K USD translated at an annual average rate of 1.33294.,
North Dakota State Tax Commission,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,North Dakota,958201,State taxes paid - $949K USD translated at an annual average rate of 1.33294.,
Oregon Department of Revenue,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Oregon,558322,State taxes paid - $557K USD translated at an annual average rate of 1.33294.,
State Comptroller- Texas,Agrium Inc.,Taxes,01-01-2016,12-31-2016,N,,Texas,565867,State taxes paid - $556K USD translated at an annual average rate of 1.33294.,
Mine Safety & Health,Americas Silver Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,91862,Fines and Penalties,
Pension Benefit Guaranty Corporation,Americas Silver Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,185519,Pension Benefit Guarantee,
U.S. Department of Interior,Americas Silver Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,124878,Mining Claims,
Shoshone County Tax Collector,Americas Silver Corporation,Taxes,01-01-2016,12-31-2016,N,,Idaho,630917,Property Taxes,
Bureau of Land Management,Anglo American plc,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,181157,NA,
US Department of the Interior Bureau of Land Management,Arizona Mining Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,250000,United States dollars - substantially comprised of annual maintenance fees to keep the property in good standing and claim staking fees.,
U.S. Governement - Bureau of Land Management,Azarga Uranium Corp.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,130355,"Amounts stated in USD as this is the reporting currency, payments were made in USD",
U.S. Governement - Nuclear Regulatory Commission,Azarga Uranium Corp.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,160238,"Amounts stated in USD as this is the reporting currency, payments were made in USD",
State of California,Barrick Gold Corporation,Fees,01-01-2016,12-31-2016,N,,California,105628,NA,
Government of the United States of America,Barrick Gold Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,2482270,NA,
Government of the United States of America,Barrick Gold Corporation,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,136562584,NA,
Jefferson County,Barrick Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Montana,1388260,NA,
State of Montana,Barrick Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Montana,671495,NA,
Elko County,Barrick Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Nevada,543232,NA,
Eureka County,Barrick Gold Corporation,Fees,01-01-2016,12-31-2016,N,,Nevada,128263,NA,
Eureka County,Barrick Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Nevada,4745738,NA,
Humboldt County,Barrick Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Nevada,890297,NA,
Lander County,Barrick Gold Corporation,Fees,01-01-2016,12-31-2016,N,,Nevada,113173,NA,
Lander County,Barrick Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Nevada,8978424,NA,
State of Nevada,Barrick Gold Corporation,Fees,01-01-2016,12-31-2016,N,,Nevada,1297721,NA,
State of Nevada,Barrick Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Nevada,37498124,NA,
Lawrence County,Barrick Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,South Dakota,60359,NA,
US Environmental Protection Agency,Baytex Energy Corp.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,75448,"Exchange rate from USD to CAD used in this report is as at the Company's December 31, 2016
 year end of 1.3427.",
Atascosa County,Baytex Energy Corp.,Taxes,01-01-2016,12-31-2016,N,,Texas,316885,"Exchange rate from USD to CAD used in this report is as at the Company's December 31, 2016
 year end of 1.3427.",
State of Texas,Baytex Energy Corp.,Taxes,01-01-2016,12-31-2016,N,,Texas,1305266,"Exchange rate from USD to CAD used in this report is as at the Company's December 31, 2016
 year end of 1.3427.",
State of Texas,Baytex Energy Corp.,Royalties,01-01-2016,12-31-2016,N,,Texas,11166443,"Exchange rate from USD to CAD used in this report is as at the Company's December 31, 2016
 year end of 1.3427.",
Texas Railroad Commission,Baytex Energy Corp.,Fees,01-01-2016,12-31-2016,N,,Texas,241436,"Exchange rate from USD to CAD used in this report is as at the Company's December 31, 2016
 year end of 1.3427.",
Various counties,Baytex Energy Corp.,Taxes,01-01-2016,12-31-2016,N,,,4632565,"Exchange rate from USD to CAD used in this report is as at the Company's December 31, 2016
 year end of 1.3427.",
JOHNSTON COUNTY OKLAHOMA CLERK,BNK Petroleum Inc.,Fees,01-01-2016,12-31-2016,N,,Oklahoma,249,NA,
JOHNSTON COUNTY OKLAHOMA COMMISSIONER,BNK Petroleum Inc.,Fees,01-01-2016,12-31-2016,N,,Oklahoma,2000,NA,
OKLAHOMA CORPORATION COMMISSION,BNK Petroleum Inc.,Bonuses,01-01-2016,12-31-2016,N,,Oklahoma,11031,NA,
OKLAHOMA DEPT OF ENVIROMENTAL QUALITY,BNK Petroleum Inc.,Fees,01-01-2016,12-31-2016,N,,Oklahoma,1575,NA,
OKLAHOMA FRANCHISE TAX BOARD,BNK Petroleum Inc.,Taxes,01-01-2016,12-31-2016,N,,Oklahoma,20100,NA,
OKLAHOMA TAX COMMISSION,BNK Petroleum Inc.,Taxes,01-01-2016,12-31-2016,N,,Oklahoma,156456,NA,
