State,Reporting Company,Payment Type,Entity Name,Value (USD)
Alaska,Agnico Eagle Mines Limited,Fees,State of Alaska,75448.0
Alaska,BP P.L.C.,Fees,State of Alaska,300282.0
Alaska,BP P.L.C.,Royalties,State of Alaska,37261461.0
Alaska,BP P.L.C.,Royalties,State of Alaska,174089734.0
Alaska,BP P.L.C.,Taxes,State of Alaska,69428844.0
Alaska,"Coeur Mining, Inc.",Fees,"City of Juneau, Alaska",20000.0
Alaska,"Coeur Mining, Inc.",Fees,State of Alaska,210000.0
Alaska,"Coeur Mining, Inc.",Taxes,"City of Juneau, Alaska",1410000.0
Alaska,Freegold Ventures Limited,Fees,State of Alaska,55908.0
Alaska,Freegold Ventures Limited,Fees,State of Alaska- Mental Health,18006.0
Alaska,Freegold Ventures Limited,Taxes,Fairbanks North Star Borough,7737.0
Alaska,GoldMining Inc.,Fees,"Alaska Department of Natural
 Resources",181077.0
Alaska,Kinross Gold Corporation,Fees,State of Alaska,490000.0
Alaska,Kinross Gold Corporation,Taxes,Fairbanks North Star Borough,8300000.0
Alaska,Kinross Gold Corporation,Taxes,State of Alaska,3610000.0
Alaska,LeadFX Inc.,Fees,Alaska Department of Natural Resources,128263.0
Alaska,Northern Dynasty Minerals Ltd.,Fees,State of Alaska,1056583.0
Alaska,Teck Resources Limited,Fees,State of Alaksa,965746.0
Alaska,Teck Resources Limited,Taxes,District of Northwest Artic Borough,11392790.0
Alaska,Teck Resources Limited,Taxes,State of Alaksa,19390378.0
Arizona,Agrium Inc.,Taxes,Arizona Department of Revenue,347065.0
Arizona,Capstone Mining Corp.,Fees,GOVERNMENT OF ARIZONA,251244.0
Arizona,Capstone Mining Corp.,Taxes,GOVERNMENT OF ARIZONA,6176250.0
Arizona,Energy Fuels Inc,Fees,Arizona Department of Environmental Quality,98083.0
Arizona,Energy Fuels Inc,Fees,Arizona Department of Environmental Quality,98083.0
Arizona,Energy Fuels Inc,Fees,Arizona Department of Transportation,7544.0
Arizona,Energy Fuels Inc,Fees,Arizona Department of Transportation,7544.0
Arizona,EntrA©e Gold Inc.,Fees,Arizona Corporation Commission,44.0
Arizona,Eurasian Minerals Inc.,Fees,Arizona Department of Revenue,49.0
Arizona,Eurasian Minerals Inc.,Fees,Arizona State Land Dept,22172.0
Arizona,Excelsior Mining Corp,Fees,Arizona Department of Environmental Quality,98083.0
Arizona,Excelsior Mining Corp,Taxes,Cochise County,399879.0
Arizona,KGHM International,Fees,State of Arizona- Bureau of Land Management,80000.0
Arizona,KGHM International,Taxes,Gila County Treasurer,190000.0
Arizona,KGHM International,Taxes,State of Arizona-Department of Revenue,100000.0
Arizona,Rio Tinto PLC,Fees,ARIZONA STATE,117911.0
Arizona,Taseko Mines Limited,Fees,Government of Arizona,98083.0
Arizona,Taseko Mines Limited,Taxes,"Pinal County, Arizona",98083.0
Arkansas,BP P.L.C.,Royalties,State of Arkansas,376550.0
Arkansas,BP P.L.C.,Taxes,State of Arkansas,514568.0
California,Agrium Inc.,Taxes,State of California,6224537.0
California,BP P.L.C.,Royalties,California State Controller'S Office,167016.0
California,Barrick Gold Corporation,Fees,State of California,105628.0
California,Golden Queen Mining Co. Ltd.,Fees,Kern County Treasurer and Tax Collector,672170.0
California,New Gold Inc.,Fees,Imperial County - Cal,356000.0
California,New Gold Inc.,Fees,State of California,172000.0
California,New Gold Inc.,Taxes,Imperial County - Cal,1266000.0
California,New Gold Inc.,Taxes,State of California,743000.0
California,Rio Tinto PLC,Fees,CALIFORNIA GOVERNMENT,31995.0
California,Rio Tinto PLC,Fees,KERN COUNTY (CALIFORNIA),8596268.0
California,Rio Tinto PLC,Royalties,CALIFORNIA GOVERNMENT,340038.0
California,Rio Tinto PLC,Taxes,CALIFORNIA GOVERNMENT,4500000.0
California,Teck Resources Limited,Taxes,State of California,467783.0
Colorado,Agrium Inc.,Taxes,Colorado Department of Revenue,347065.0
Colorado,BP P.L.C.,Fees,Southern Ute Indian Tribe,212029.0
Colorado,BP P.L.C.,Production entitlements,Southern Ute Indian Tribe,31955077.0
Colorado,BP P.L.C.,Royalties,Southern Ute Indian Tribe,16045226.0
Colorado,BP P.L.C.,Royalties,State of Colorado,906878.0
Colorado,BP P.L.C.,Taxes,Southern Ute Indian Tribe,5204313.0
Colorado,BP P.L.C.,Taxes,State of Colorado,1355126.0
Colorado,Encana Corporation,Fees,State of Colorado,770000.0
Colorado,Encana Corporation,Royalties,Boulder County,90000.0
Colorado,Encana Corporation,Royalties,City of Broomfield,100000.0
Colorado,Encana Corporation,Royalties,State of Colorado,3590000.0
Colorado,Encana Corporation,Royalties,Town of Firestone,190000.0
Colorado,Encana Corporation,Taxes,Boulder County,1060000.0
Colorado,Encana Corporation,Taxes,City of Broomfield,740000.0
Colorado,Encana Corporation,Taxes,Garfield County,28100000.0
Colorado,Encana Corporation,Taxes,Mesa County,790000.0
Colorado,Encana Corporation,Taxes,Rio Blanco County,2000000.0
Colorado,Encana Corporation,Taxes,State of Colorado,5710000.0
Colorado,Encana Corporation,Taxes,Weld County,45000000.0
Colorado,Enirgi Group Corporation,Taxes,Rio Blanco County,286705.0
Colorado,Eurasian Minerals Inc.,Taxes,Douglas County Treasurer,4209.0
